,mae,rmse,mape,r2
EnsembleXG+TF,27.960503320335906,39.68682357733121,0.43865492144009516,0.7625508318971793
EnsembleLIGHT+TF,27.90978433392331,39.750589589010275,0.43510147633137025,0.7617871854795493
EnsembleXG+LIGHT+TF,27.763721607054393,39.3463663652156,0.4510237784925697,0.7666073182672936
EnsembleXG+LIGHT,29.61489252598891,41.66026002710972,0.5201804788231114,0.7383492862021859
Randomforest tunned,40.74096313356159,53.151505848363364,0.9031821616042628,0.5740985511312133
SVM RBF GRID SEARCH,38.56560174512252,50.3400272130703,0.7767785685301329,0.6179634951262103
DeepAR,72.52873421948907,105.39131309058506,0.9573769585455073,-0.6745094478051386
Tensorflow simple LSTM,31.40688968856472,44.007714539413755,0.46633146603165226,0.7080317673853133
Prophet multivariate,38.346790730934224,50.50218564907183,0.7447335938796787,0.6154982512685703
Kneighbors,57.048846843821,80.38733591079853,1.082936498804146,0.025788518944025896
SVM RBF,40.80889444196705,56.032800300288606,0.7942235072980308,0.5266715316287729
Lightgbm,30.173660146490946,42.74528484244324,0.5223376202466113,0.7245426265270773
XGBoost,31.043099031881006,43.195545620081205,0.5421447091544523,0.7187089595346269
Randomforest,45.83794230098984,59.4489432036719,1.0292758595380387,0.46719750636098334
Lasso,39.2369663391453,54.58399790870153,0.7090311778288814,0.5508321591036289
BayesianRidge,39.243000962562014,54.634477029073054,0.7078739844522808,0.5500009967624746
Prophet univariate,61.53380230466182,83.64673198635526,1.2682130053815854,-0.05481410213739779
"AutoSARIMAX (1, 0, 1),(0, 0, 0, 6)",51.29198250756219,71.48683847219142,0.9125628929273871,0.22957538042990167
SARIMAX,51.25048185966847,71.32864345186118,0.9052778110220928,0.2329813916131096
"AutoARIMA (1, 0, 1)",47.09685892883091,64.86169309441611,1.0056440815777241,0.36575867888421854
ARIMA,48.24924334429842,66.38752634068322,1.0616723449754857,0.3355673816414432
ARMA,47.09685892883091,64.86169309441611,1.0056440815777241,0.36575867888421854
MA,49.043875235907436,66.20167106828775,1.0528691003003372,0.3392824002951037
AR,47.23804907389029,65.32171829215591,1.0155933817442622,0.35673018642367305
HWES,52.9602933656114,74.67175237767084,1.11262704975018,0.1593975374432378
SES,52.9602933656114,74.67175237767084,1.11262704975018,0.1593975374432378
Yesterdays value,52.67495069033537,74.52276372084808,1.0440497051248143,0.1627486115825162
Naive mean,59.320939688745256,81.44435990224615,1.3213573049115988,0.0
